,product_name,description,image,price
125,可口可樂 - 汽水 ,500MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6002891_1.jpg?1633951223,$25
126,iF - 有氣椰青水 ,330MLX6 ,https://image.ztore.com/images/ztore/production/product/368px/1047084_1.jpg?1629952426,$52.9
127,OOHA - 荔枝乳酸味汽水(迷你罐) ,200MLX6 ,https://image.ztore.com/images/ztore/production/product/368px/1051134_1.jpg?1655290405,$26
128,雪碧 - 檸檬青檸味汽水 ,2L ,https://image.ztore.com/images/ztore/production/product/368px/1000015_1.jpg?1589197465,$14.9
129,雪碧 - 檸檬青檸味汽水 -原箱 ,500MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/6001474_1.jpg?1589197465,$128
130,美粒果 - 白提梳打 -原箱 ,500MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/6007224_1.jpg?1648113470,$179
131,賓得寶 - 番石榴梳打 ,375MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6004252_1.jpg?1600417205,$48
132,JOLLY SHANDY樂怡仙地 - 碳酸酒精飲品-檸檬味-原箱 ,330MLX6X4 ,https://image.ztore.com/images/ztore/production/product/368px/6000926_1.jpg?1552641357,$89
133,SENAC - 0%無酒精果味香檳 - 青蘋果味 ,750ML ,https://image.ztore.com/images/ztore/production/product/368px/1046427_1.jpg?1628863251,$78
134,大西洋 - 蘋果西打 ,330MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6002903_1.jpg?1591962348,$25
135,依維世 - 梳打水 ,330MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6002913_1.jpg?1592209998,$15.9
136,可口可樂 - 無糖汽水 ,500MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6002892_1.jpg?1631277807,$25
137,屈臣氏 - X Soda 荔枝馬天尼酒精風味蘇打水 ,265MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1045432_1.jpg?1623410100,$32.9
138,屈臣氏 - X Soda 椰林飄香酒精風味蘇打水 ,265MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1045431_1.jpg?1623410099,$32.9
139,屈臣氏 - 沙示汽水飲品-原箱 ,330MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/6000685_1.jpg?1552641354,$89.9
140,屈臣氏 - 混合裝-蘇打水和莫希托味蘇打水-原箱 ,330MLX4X6 ,https://image.ztore.com/images/ztore/production/product/368px/6004348_1.jpg?1602135534,$89.9
141,iF - 有氣椰青水-原箱 ,330MLX6X4 ,https://image.ztore.com/images/ztore/production/product/368px/6006258_1.jpg?1629952426,$161
142,OOHA - 荔枝乳酸味汽水 ,500MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6006831_1.jpg?1643348106,$29
143,OOHA - 試勻三款口味汽水套裝 ,500MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6006863_1.jpg?1643348106,$29
144,泰象 - 梳打水 ,325MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6002901_1.jpg?1591962348,$21.9
145,雪碧 - 無糖青檸味汽水 -原箱 ,500MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/6007355_1.jpg?1651230306,$128
146,美粒果 - 白提梳打 ,500MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6007223_1.jpg?1648113470,$25
147,C.C. LEMON - 有氣檸檬味飲品-原箱 ,500MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/6001308_1.jpg?1560231043,$189
148,百事 - 百事可樂-原箱 ,330MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/8000495_1.jpg?1638785809,$86.7
149,百事 - 百事可樂-無糖 (新舊包裝隨機發貨) ,330MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6004672_1.jpg?1649848352,$19.9
150,HATA - 波子汽水-原味 ,200MLX2 ,https://image.ztore.com/images/ztore/production/product/368px/6003908_1.jpg?1597036439,$21.9
151,賓得寶 - 蜜桃梳打 ,375MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6004253_1.jpg?1600417205,$48
152,FEVER TREE - 湯力水(輕怡) ,200MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6004494_1.jpg?1605244483,$35
153,VITA 維他 - 氣泡桃橙茶-原箱 ,310MLX6X4 ,https://image.ztore.com/images/ztore/production/product/368px/6007362_1.jpg?1653646295,$100
154,屈臣氏 - 礦物質氣泡水 - 原箱 ,320MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/8001873_1.jpg?1649848352,$142.5
155,屈臣氏 - 蘇打水-青檸味-原箱 ,420MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/6002531_1.jpg?1583927991,$179
156,屈臣氏 - 蘇打水-韓國柚子桂花味 ,420MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6007303_1.jpg?1651828032,$24.9
157,聖沛黎洛 - 有氣血橙菓汁-原箱 ,330MLX4X6 ,https://image.ztore.com/images/ztore/production/product/368px/6002632_1.jpg?1589197465,$199.6
158,聖沛黎洛 - 有氣橙菓汁-原箱 ,330MLX4X6 ,https://image.ztore.com/images/ztore/production/product/368px/6002631_1.jpg?1589197465,$199.6
159,美粒果 - 試勻2款口味梳打 ,500MLX2 ,https://image.ztore.com/images/ztore/production/product/368px/6007262_1.jpg?1648787699,$20
160,賓得寶 - 青檸梳打 ,375MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6002910_1.jpg?1592209998,$39.9
161,SENAC - 0%無酒精果味香檳 - 白提子味 ,750ML ,https://image.ztore.com/images/ztore/production/product/368px/1046424_1.jpg?1628863250,$78
162,可口可樂 - 加系-膳食纖維無糖汽水(款式隨機) ,500MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6002904_1.jpg?1623310556,$28
163,屈臣氏 - X Soda 椰林飄香酒精風味蘇打水-原箱 ,265MLX4X6 ,https://image.ztore.com/images/ztore/production/product/368px/6005879_1.jpg?1623841529,$178
164,屈臣氏 - 蘇打水-青檸味 ,420MLX4X6 ,https://image.ztore.com/images/ztore/production/product/368px/6007097_1.jpg?1646635365,$139
165,OOHA - 荔枝乳酸味汽水(迷你罐) - 原箱 ,200MLX6X4 ,https://image.ztore.com/images/ztore/production/product/368px/6006842_1.jpg?1643345125,$90
166,雪碧 - 檸檬青檸味汽水 ,500MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6002893_1.jpg?1591962349,$25
167,美粒果 - 蘋果梳打 -原箱 ,500MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/6007226_1.jpg?1648113470,$179
168,HATA - 波子汽水-士多啤梨味 ,200MLX2 ,https://image.ztore.com/images/ztore/production/product/368px/6003912_1.jpg?1597036439,$21.9
169,HATA - 波子汽水-乳酪味 ,200MLX2 ,https://image.ztore.com/images/ztore/production/product/368px/6003915_1.jpg?1597036439,$21.9
170,HATA - 波子汽水-柚子味 ,200MLX2 ,https://image.ztore.com/images/ztore/production/product/368px/6003914_1.jpg?1597036439,$21.9
171,賓得寶 - 沙示梳打 ,375MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6002897_1.jpg?1592209998,$39.9
